127.0.0.1 - - [11/Nov/2020:16:54:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:54:37 +0900] "GET /SemiProject/login.jsp HTTP/1.1" 200 4108
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:54:38 +0900] "GET /SemiProject/CSS/index.css HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:54:38 +0900] "GET /SemiProject/CSS/login.css HTTP/1.1" 200 1830
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:54:38 +0900] "GET /SemiProject/style.css HTTP/1.1" 200 2979
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:54:38 +0900] "GET /SemiProject/JS/index.js HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:54:38 +0900] "GET /SemiProject/JS/login.js HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:59:59 +0900] "GET /SemiProject/index.jsp HTTP/1.1" 200 5141
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:59:59 +0900] "GET /SemiProject/img/dog_4.gif HTTP/1.1" 200 1686694
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:59:59 +0900] "GET /SemiProject/img/dog_1.gif HTTP/1.1" 200 1037049
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:59:59 +0900] "GET /SemiProject/img/main_dog.png HTTP/1.1" 200 50774
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:59:59 +0900] "GET /SemiProject/img/dog_3.gif HTTP/1.1" 200 2077429
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:59:59 +0900] "GET /SemiProject/img/dog_2.gif HTTP/1.1" 200 505054
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:59:59 +0900] "GET /SemiProject/img/friend.png HTTP/1.1" 200 2475
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:59:59 +0900] "GET /SemiProject/img/time.png HTTP/1.1" 200 2139
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:59:59 +0900] "GET /SemiProject/img/route.png HTTP/1.1" 200 1675
0:0:0:0:0:0:0:1 - - [11/Nov/2020:16:59:59 +0900] "GET /SemiProject/img/phone.png HTTP/1.1" 200 1520
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:00:13 +0900] "GET /SemiProject/index.jsp HTTP/1.1" 200 5141
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:00:13 +0900] "GET /SemiProject/style.css HTTP/1.1" 200 2979
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:00:13 +0900] "GET /SemiProject/CSS/index.css HTTP/1.1" 200 2049
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:00:13 +0900] "GET /SemiProject/JS/index.js HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:00:13 +0900] "GET /SemiProject/img/dog_3.gif HTTP/1.1" 200 2077429
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:00:13 +0900] "GET /SemiProject/img/dog_2.gif HTTP/1.1" 200 505054
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:00:13 +0900] "GET /SemiProject/img/dog_1.gif HTTP/1.1" 200 1037049
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:00:13 +0900] "GET /SemiProject/img/dog_4.gif HTTP/1.1" 200 1686694
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:00:13 +0900] "GET /SemiProject/img/main_dog.png HTTP/1.1" 200 50774
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:00:13 +0900] "GET /SemiProject/img/time.png HTTP/1.1" 200 2139
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:00:13 +0900] "GET /SemiProject/img/friend.png HTTP/1.1" 200 2475
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:00:13 +0900] "GET /SemiProject/img/phone.png HTTP/1.1" 200 1520
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:00:13 +0900] "GET /SemiProject/img/route.png HTTP/1.1" 200 1675
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:05:43 +0900] "GET /SemiProject/login.jsp HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:05:43 +0900] "GET /SemiProject/CSS/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:05:43 +0900] "GET /SemiProject/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:05:43 +0900] "GET /SemiProject/JS/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:06:04 +0900] "GET /SemiProject/login.jsp HTTP/1.1" 200 4785
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:06:04 +0900] "GET /SemiProject/CSS/login.css HTTP/1.1" 200 1830
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:06:04 +0900] "GET /SemiProject/JS/login.js HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:08:45 +0900] "GET /SemiProject/login.jsp HTTP/1.1" 200 4767
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:08:50 +0900] "GET /SemiProject/login.jsp HTTP/1.1" 200 4767
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:08:50 +0900] "GET /SemiProject/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:08:50 +0900] "GET /SemiProject/JS/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:20:04 +0900] "GET /SemiProject/login.jsp HTTP/1.1" 200 4772
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:20:04 +0900] "GET /SemiProject/JS/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:20:04 +0900] "GET /SemiProject/CSS/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:20:04 +0900] "GET /SemiProject/CSS/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Nov/2020:17:20:04 +0900] "GET /SemiProject/login.jsp HTTP/1.1" 200 4772
